date,surface_temp,solar_zenith,surface_albedo
2015-01-01,-4.490099195111895,53.77221608805335,0.733728085584404
2015-01-02,-3.4464752673234784,54.12980425922494,0.7324353515040056
2015-01-03,-3.3979310553608,51.97158192641616,0.7311235708070989
2015-01-04,-5.659447634494484,57.29993059985469,0.7330647271285601
2015-01-05,-19.234894454609076,56.13984191183373,0.7321651132723627
2015-01-06,-27.655973736804697,56.91562273843878,0.7304684384887509
2015-01-07,-18.293605684357317,56.79488922012678,0.7281985872964715
2015-01-08,-8.205717037881584,55.09395353773649,0.7238522490038983
2015-01-09,-15.277181304807073,57.06764740845674,0.7211034318372076
2015-01-10,-17.19288640661111,55.760779584232,0.713377565236987
2015-01-11,-15.941143989358977,58.63899785752593,0.7280584156359038
2015-01-12,-17.22999999999996,57.45101972809103,0.7493667233650214
2015-01-13,-9.224699417476529,56.756892880582164,0.749613116136311
2015-01-14,-28.108579289865702,58.18553616093466,0.7495947229848934
2015-01-15,-11.380034636525693,57.41071627980362,0.7493227121640665
2015-01-16,-8.538210981012583,58.28442245447676,0.7495665152850295
2015-01-17,-8.99152825393486,56.78981515961703,0.7487004491256627
2015-01-18,-7.591802175304906,57.347779491425236,0.7466993826965065
2015-01-19,-29.090747447746622,57.14460087420896,0.7485796787883561
2015-01-20,-9.289394000280026,59.048859890931865,0.7479974729880131
2015-01-21,-22.942117854306673,58.13032288574925,0.7481080463567839
2015-01-22,-23.230871321164273,58.8489652705828,0.7473073956808147
2015-01-23,-14.243121772870722,59.01078796969663,0.7491656776175765
2015-01-24,-26.066434725803504,57.30103574654975,0.7482929185349511
2015-01-25,-26.197096975302117,58.35523732014807,0.747114272028265
2015-01-26,-33.06547235919197,58.29608633162915,0.7447399999011393
2015-01-27,-42.66974278798298,62.008593646762094,0.734705230118799
2015-01-28,-16.796428488008075,58.60377568657491,0.7350489423073063
2015-01-29,-11.567025341170734,60.873360345393905,0.7335077887118658
2015-01-30,-8.155685207332226,60.01521666654916,0.7350911796982044
2015-01-31,-29.556995713595313,59.67807771308753,0.7359769281145422
2015-02-01,-20.484102398095985,61.978453893275926,0.7359816710747958
2015-02-02,-9.877619889820778,59.99270687353711,0.735138540095811
2015-02-03,-5.824533959648136,61.41978594330834,0.7354638977895842
2015-02-04,-21.386493417175302,60.71504719786143,0.736789912138485
2015-02-05,-21.361766835403444,63.160333094389884,0.7366177026668036
2015-02-06,-24.00037859633494,60.963011971901246,0.738556370480346
2015-02-07,-25.259913936778474,62.21672076817838,0.738047244242556
2015-02-08,-13.431580816255291,62.103153975240694,0.7331643564692005
2015-02-09,-12.884667258433865,62.37854839126494,0.7332124732136399
2015-02-10,-31.719407946791875,64.26194862318769,0.7338762696635599
2015-02-11,-18.472228925384343,62.873189761453254,0.7307262472805941
2015-02-12,-26.050542540823784,64.66332627421086,0.7300730519860203
2015-02-13,-9.257720870033836,63.44225653939649,0.7250588268561174
2015-02-14,-40.02728220832847,65.86956921249727,0.7255025648687129
2015-02-15,-36.94145561546404,63.86135646175012,0.725470482744116
2015-02-16,-21.226430579106903,64.05822520079799,0.7239274550220643
2015-02-17,-12.140817807669464,65.25423620669632,0.7133429695955912
2015-02-18,-13.713308479584043,64.06967077798595,0.7125013945387848
2015-02-19,-11.499873913155056,65.43190451236282,0.7310134581502467
2015-02-20,-30.019557207710875,65.41976752734895,0.7334995271966912
2015-02-21,-23.75984447381495,66.87067313560297,0.7314809504605636
2015-02-22,-16.35255522272206,66.64378779511654,0.7185263055905808
2015-02-23,-24.9490552584941,68.89724462419092,0.7204253234406245
2015-02-24,-13.593483397943203,67.25361241383492,0.7161537239776554
2015-02-25,-27.977794809633536,68.71288605772139,0.7188200218278294
2015-02-26,-18.54493369491294,68.62858992249974,0.7187207686527864
2015-02-27,-19.493394778072997,67.32064966998881,0.7198658938929656
2015-02-28,-16.78407588986306,71.59713942969432,0.7020712842423171
